strain	date	country	genotype	accession	extra
DENV1/THAILAND/1994/30722/94	1994-01-01	THAILAND	DENV1	30722	94
DENV1/THAILAND/1994/30778/94	1994-01-01	THAILAND	DENV1	30778	94
DENV1/THAILAND/1994/30797/94	1994-01-01	THAILAND	DENV1	30797	94
DENV1/BOLIVIA/2010/FSB-3363	2010-01-01	BOLIVIA	DENV1	FSB-3363	.
DENV1/MYANMAR/2005/61117	2005-01-01	MYANMAR	DENV1	61117	.
DENV1/NAURU/1974/RDENV1-WP-1A	1974-01-01	NAURU	DENV1	RDENV1-WP-1A	.
DENV1/PERU/2000/IQT-6152	2000-01-01	PERU	DENV1	IQT-6152	.
DENV1/PUERTORICO/2006/BID-V852	2006-01-01	PUERTORICO	DENV1	BID-V852	.
DENV1/THAILAND/1964/16007	1964-01-01	THAILAND	DENV1	16007	.
DENV1/VENEZUELA/2000/OBT-1298	2000-01-01	VENEZUELA	DENV1	OBT-1298	.
DENV1/VIETNAM/2008/BID-V1937	2008-01-01	VIETNAM	DENV1	BID-V1937	.
DENV1/CAMBODIA/2003/FJ639680	2003-01-01	CAMBODIA	DENV1	FJ639680	.
DENV1/CAMBODIA/2006/FJ639687	2006-01-01	CAMBODIA	DENV1	FJ639687	.
DENV1/CAMBODIA/2007/FJ639693	2007-01-01	CAMBODIA	DENV1	FJ639693	.
DENV1/CAMBODIA/2007/FJ639696	2007-01-01	CAMBODIA	DENV1	FJ639696	.
DENV1/CAMBODIA/2003/FJ850069	2003-01-01	CAMBODIA	DENV1	FJ850069	.
DENV1/CAMBODIA/2003/GQ868619	2003-01-01	CAMBODIA	DENV1	GQ868619	.
DENV1/CAMBODIA/2008/GQ868632	2008-01-01	CAMBODIA	DENV1	GQ868632	.
DENV1/CAMBODIA/2008/GU131894	2008-01-01	CAMBODIA	DENV1	GU131894	.
DENV1/CAMBODIA/2010/U0616272	2010-01-01	CAMBODIA	DENV1	U0616272	.
DENV1/CAMBODIA/2010/U0609271	2010-01-01	CAMBODIA	DENV1	U0609271	.
DENV1/CAMBODIA/2011/V0524313	2011-01-01	CAMBODIA	DENV1	V0524313	.
DENV1/CAMBODIA/2011/V0504308	2011-01-01	CAMBODIA	DENV1	V0504308	.
