strain	date	region	country	division
hDenV1/Colombia/VAC-LSPVAC-2400368/2024	2023-12-26	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2401121/2024	2024-01-18	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2401601/2024	2024-01-26	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2401811/2024	2024-01-30	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2401935/2024	2024-01-27	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2402024/2024	2024-02-04	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2402457/2024	2024-02-09	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2402566/2024	2024-02-10	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2402583/2024	2024-01-22	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2402847/2024	2024-02-15	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2403830/2024	2024-03-05	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2404263/2024	2024-03-12	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2404314/2024	2024-03-08	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2404461/2024	2024-03-18	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2404681/2024	2024-03-31	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2404789/2024	2024-03-18	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2405179/2024	2024-04-01	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2405205/2024	2024-04-05	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2405404/2024	2024-04-04	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2405498/2024	2024-03-12	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2405525/2024	2024-04-12	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2405553/2024	2024-04-09	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2405690/2024	2024-03-18	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2405731/2024	2024-04-07	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2405754/2024	2024-04-12	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2405774/2024	2024-04-22	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2405625/2024	2024-04-14	South America	Colombia	Valle del Cauca
hDenV1/Colombia/un-Yale-DN02379/2023	2023-09-13	South America	Colombia	
hDenV1/Colombia/un-Yale-DN02363/2023	2023-08-26	South America	Colombia	
hDenV1/Colombia/un-Yale-DN02376/2023	2023-09-11	South America	Colombia	
hDenV1/Colombia/un-Yale-DN02556/2024	2024-02-20	South America	Colombia	
hDenV1/Colombia/un-Yale-DN02429/2023	2023-11-12	South America	Colombia	
hDenV1/Colombia/un-Yale-DN02489/2024	2024-01-10	South America	Colombia	
hDenV1/Colombia/un-Yale-DN02505/2024	2024-01-21	South America	Colombia	
hDenV1/Colombia/un-Yale-DN02386/2023	2023-09-21	South America	Colombia	
hDenV1/Colombia/un-Yale-DN02440/2023	2023-11-23	South America	Colombia	
hDenV1/Colombia/un-Yale-DN02365/2023	2023-08-30	South America	Colombia	
hDenV1/Colombia/VAC-LSPVAC-2407081-VI/2024	2024-05-20	South America	Colombia	Valle del Cauca
hDenV1/Colombia/VAC-LSPVAC-2407539-VI/2024	2024-05-28	South America	Colombia	Valle del Cauca
hDenV1/Colombia/ANT-UDEA-COA0053/2021	2021-12-09	South America	Colombia	Antioquia
hDenV1/Colombia/ANT-UDEA-COT0221/2023	2023-08-16	South America	Colombia	Antioquia
hDenV1/Colombia/ANT-UDEA-COT0017/2023	2023-07-28	South America	Colombia	Antioquia
hDenV1/Colombia/ANT-UDEA-COT0028/2023	2023-08-09	South America	Colombia	Antioquia
hDenV1/Colombia/ANT-UDEA-COA0214/2022	2022-03-09	South America	Colombia	Antioquia
hDenV1/Colombia/ANT-UDEA-COA0234/2022	2022-04-01	South America	Colombia	Antioquia
hDenV1/Colombia/ANT-UDEA-COT0011/2023	2023-07-21	South America	Colombia	Antioquia
hDenV1/Colombia/ANT-UDEA-COT0012/2023	2023-07-25	South America	Colombia	Antioquia
hDenV1/Colombia/ANT-UDEA-COT0026/2023	2023-08-05	South America	Colombia	Antioquia
hDenV1/Colombia/un-Yale-DN02838/2024	2024-06-24	South America	Colombia	
hDenV1/Colombia/un-Yale-DN02741/2024	2024-04-14	South America	Colombia	
hDenV1/Colombia/un-Yale-DN02733/2024	2024-04-11	South America	Colombia	
hDenV1/Colombia/un-Yale-DN02730/2024	2024-04-07	South America	Colombia	
