strain	country	genotype	accession	extra
2003.5	Cambodia	2V	FJ639705	.
2003.5_2	Vietnam	2V	EU482786	.
2003.523	BKK	2V	01268/03	.
2003.636	BKK	2V	01549/03	.
2003.693	BKK	2V	01693/03	.
2003.701	BKK	2V	01707/03	.
2003.751	KPP	2V	30630/03	.
2003.773	KPP	2V	30658/03	.
2003.775	BKK	2V	01888/03	.
2003.808	BKK	2V	01968/03	.
2003.866	BKK	2V	02148/03	.
2003.929	BKK	2V	02322/03	.
2003.948	BKK	2V	02339/03	.
2003.956	BKK	2V	02365/03	.
2003.981	KPP	2V	30811/03	.
2004	BKK	2V	02455/03	.
2004.005	BKK	2V	00004/04	.
2004.027	BKK	2V	00037/04	.
2004.057	KPP	2V	30029/04	.
2004.071	BKK	2V	00098/04	.
2004.098	KPP	2V	30044/04	.
2004.109	KPP	2V	30046/04	.
2004.112	KPP	2V	30048/04	.
2004.139	BKK	2V	00159/04	.
2004.15	KPP	2V	30057/04	.
2004.186	KPP	2V	30067/04	.
2004.21	BKK	2V	00205/04	.
2004.221	KPP	2V	30093/04	.
2004.224	BKK	2V	00213/04	.
2004.254	BKK	2V	00242/04	.
2004.254_2	KPP	2V	30107/04	.
2004.26	BKK	2V	00248/04	.
2004.292	BKK	2V	00290/04	.
2004.292_2	KPP	2V	30140/04	.
2004.5	BKK	2IIIr	00584/04	.
2004.5_2	Cambodia	2V	d2cam04	.
2004.5_3	Singapore	2II	JN851123	.
2004.5_4	Vietnam	2V	FM210231	.
2004.525	BKK	2V	00560/04	.
2004.549	BKK	2V	00617/04	.
2004.557	BKK	2V	00630/04	.
2004.568	BKK	2V	00664/04	.
2004.571	BKK	2V	00673/04	.
2004.59	BKK	2V	00709/04	.
2004.598	BKK	2V	00740/04	.
2004.727	BKK	2V	01006/04	.
2004.727_2	BKK	2V	01007/04	.
2004.751	BKK	2V	01084/04	.
2004.754	BKK	2V	01109/04	.
2004.762	BKK	2V	01145/04	.
2004.779	BKK	2V	01177/04	.
2004.781	BKK	2V	01185/04	.
2004.79	BKK	2V	01218/04	.
2004.792	BKK	2V	01224/04	.
2004.798	BKK	2V	01256/04	.
2004.817	BKK	2V	01316/04	.
2004.861	BKK	2V	01462/04	.
2004.932	BKK	2V	01646/04	.
2004.948	BKK	2V	01666/04	.
2005.238	KPP	2V	30073/05	.
2005.293	KPP	2V	30094/05	.
2005.312	KPP	2V	30106/05	.
2005.323	BKK	2V	00420/05	.
2005.34	KPP	2V	30133/05	.
2005.342	KPP	2V	30127/05	.
2005.348	KPP	2V	30137/05	.
2005.356	KPP	2V	30154/05	.
2005.356_2	KPP	2V	30160/05	.
2005.375	KPP	2V	30185/05	.
2005.381	KPP	2V	30189/05	.
2005.386	KPP	2V	30203/05	.
2005.389	KPP	2V	30195/05	.
2005.395	KPP	2V	30211/05	.
2005.411	KPP	2V	30221/05	.
2005.427	KPP	2V	30239/05	.
2005.433	KPP	2V	30247/05	.
2005.433_2	KPP	2V	30248/05	.
2005.438	KPP	2V	30252/05	.
2005.441	KPP	2V	30261/05	.
2005.447	KPP	2V	30257/05	.
2005.449	KPP	2V	30263/05	.
2005.46	KPP	2V	30278/05	.
2005.471	KPP	2V	30283/05	.
2005.477	KPP	2V	30292/05	.
2005.479	KPP	2V	30293/05	.
2005.49	KPP	2V	30300/05	.
2005.512	KPP	2V	30315/05	.
2005.523	KPP	2V	30321/05	.
2005.537	KPP	2V	30332/05	.
2005.54	KPP	2V	30334/05	.
2005.54_2	KPP	2V	30338/05	.
2005.548	KPP	2V	30342/05	.
2005.559	KPP	2V	30349/05	.
2005.581	KPP	2V	30357/05	.
2005.619	KPP	2V	30399/05	.
2005.63	KPP	2V	30406/05	.
2005.63_2	KPP	2V	30409/05	.
2005.644	BKK	2V	00901/05	.
2005.644_2	BKK	2V	00903/05	.
2005.647	KPP	2V	30420/05	.
2005.668	KPP	2V	30442/05	.
2005.679	BKK	2V	00953/05	.
2005.685	KPP	2V	30447/05	.
2005.699	KPP	2V	30461/05	.
2005.712	KPP	2V	30470/05	.
2005.764	KPP	2V	30498/05	.
2005.789	BKK	2V	01171/05	.
2005.792	KPP	2V	30518/05	.
2005.811	KPP	2V	30537/05	.
2005.819	KPP	2V	30555/05	.
2005.836	KPP	2V	30566/05	.
2005.844	BKK	2V	01291/05	.
2005.847	KPP	2V	30582/05	.
2005.852	KPP	2V	30594/05	.
2005.863	BKK	2V	01334/05	.
2005.868	KPP	2V	30603/05	.
2005.879	BKK	2V	01381/05	.
2005.888	KPP	2V	30619/05	.
2005.896	BKK	2V	01495/05	.
2005.901	BKK	2V	01441/05	.
2005.915	BKK	2V	01465/05	.
2005.948	BKK	2V	01534/05	.
2005.967	BKK	2V	01574/05	.
2005.97	BKK	2V	01594/05	.
2005.995	BKK	2V	00036/06	.
2006.016	BKK	2V	00016/06	.
2006.047	BKK	2V	00051/06	.
2006.082	BKK	2V	00111/06	.
2006.088	BKK	2V	00127/06	.
2006.17	BKK	2V	00289/06	.
2006.173	BKK	2V	00291/06	.
2006.178	KPP	2V	30048/06	.
2006.216	KPP	2V	30077/06	.
2006.222	BKK	2V	00390/06	.
2006.258	KPP	2V	30095/06	.
2006.26	BKK	2V	00444/06	.
2006.285	BKK	2V	00495/06	.
2006.301	BKK	2V	00525/06	.
2006.345	BKK	2V	00586/06	.
2006.364	KPP	2V	30153/06	.
2006.378	BKK	2V	00647/06	.
2006.386	BKK	2V	00678/06	.
2006.397	BKK	2V	00695/06	.
2006.4	BKK	2V	00697/06	.
2006.408	KPP	2V	30185/06	.
2006.411	BKK	2V	00720/06	.
2006.444	KPP	2V	30224/06	.
2006.479	KPP	2V	30272/06	.
2006.479_2	KPP	2V	30280/06	.
2006.504	BKK	2V	01042/06	.
2006.54	BKK	2V	01212/06	.
2006.564	KPP	2V	30458/06	.
2006.564_2	KPP	2V	30472/06	.
2006.6	Thailand	2V	d2thai06	.
2006.63	BKK	2V	01597/06	.
2006.641	BKK	2V	01625/06	.
2006.644	BKK	2V	01644/06	.
2006.671	KPP	2V	30702/06	.
2006.685	KPP	2V	30704/06	.
2006.693	BKK	2V	01841/06	.
2006.721	BKK	2V	01929/06	.
2006.803	BKK	2V	02182/06	.
2006.836	BKK	2V	02393/06	.
2006.844	BKK	2V	02337/06	.
2006.863	BKK	2V	02398/06	.
2006.866	BKK	2V	02391/06	.
2006.904	BKK	2V	02518/06	.
2006.915	BKK	2V	02617/06	.
2006.923	BKK	2V	02660/06	.
2007.025	BKK	2V	00045/07	.
