taxon,date
hDenV1_Colombia_NSA-UIDS-555_2001_EPI_ISL_715732_2001-12,2001.9578
hDenV1_Colombia_SAN-UIS-0000051_2016_EPI_ISL_17434702_2016,2016.5000
hDenV1_Colombia_SAN-UIS-0000031_2016_EPI_ISL_17434708_2016,2016.5000
hDenV1_Colombia_SAN-UIS-0000014_2016_EPI_ISL_17434725_2016,2016.5000
hDenV1_Colombia_SAN-UIS-0000015_2016_EPI_ISL_17434726_2016,2016.5000
hDenV1_Colombia_SAN-UIS-0000047_2016_EPI_ISL_17434705_2016,2016.5000
hDenV1_Colombia_un-OUCRU-0000074_2013_EPI_ISL_17439456_2013,2013.5000
hDenV1_Colombia_un-INS-424233_2013_EPI_ISL_17783301_2013-06-01,2013.4137
hDenV1_Colombia_un-INS-484948_2016_EPI_ISL_17783299_2016-07-12,2016.5288
hDenV1_Colombia_RIS-INS-476947_2016_EPI_ISL_17783293_2016-04-26,2016.3178
hDenV1_Colombia_un-INS-484940_2016_EPI_ISL_17783296_2016-07-07,2016.5151
DenV1_mosquito_Colombia_MAG-CIST-0134_2018_EPI_ISL_20388627_2018-10-04,2018.7562
hDenV1_Colombia_ANT-UDEA-COT0012_2023_EPI_ISL_19644384_2023-07-25,2023.5616
hDenV1_Colombia_un-BNITM-363_2018_EPI_ISL_18861650_2018-07-01,2018.4959
hDenV1_Colombia_VAC-LSPVAC-2402583_2024_EPI_ISL_19216378_2024-01-22,2024.0575
hDenV1_Colombia_VAC-LSPVAC-2404681_2024_EPI_ISL_19216401_2024-03-31,2024.2466
hDenV1_Colombia_VAC-LSPVAC-2405690_2024_EPI_ISL_19216409_2024-03-18,2024.2110
hDenV1_Colombia_VAC-LSPVAC-2405404_2024_EPI_ISL_19216405_2024-04-04,2024.2575
hDenV1_Colombia_VAC-LSPVAC-2407539-VI_2024_EPI_ISL_19285523_2024-05-28,2024.4055
hDenV1_Colombia_ANT-UDEA-COA0214_2022_EPI_ISL_19644381_2022-03-09,2022.1836
hDenV1_Colombia_ANT-UDEA-COT0026_2023_EPI_ISL_19644385_2023-08-05,2023.5918
hDenV1_Colombia_SAN-BROAD-0000032_2008_EPI_ISL_17436902_2008,2008.5000
hDenV1_Colombia_ANT-INS-485061_2016_EPI_ISL_17783300_2016-08-27,2016.6548
hDenV1_Colombia_RIS-FUAA-AFI101_2021_EPI_ISL_20061738_2021-05-08,2021.3479
hDenV1_Colombia_RIS-FUAA-AFI082_2021_EPI_ISL_20061751_2021-06-28,2021.4877
hDenV1_Colombia_RIS-FUAA-AFI031_2021_EPI_ISL_20061750_2021-02-16,2021.1260
hDenV1_Colombia_un-FUAA-AFI007673_2019_EPI_ISL_3355457_2019-09,2019.7078
hDenV1_Colombia_FUADLA-AFI025_676_2021_EPI_ISL_9768996_2021-01-25,2021.0658
hDenV1_Colombia_FUADLA-AFI059_677_2021_EPI_ISL_9769066_2021-01-25,2021.0658
hDenV1_Colombia_ANT-UDS-0746586_2013_EPI_ISL_772423_2013-08-09,2013.6027
hDenV1_Colombia_RIS-FUAA-DFC059_2021_EPI_ISL_20061732_2021-08-15,2021.6192
hDenV1_Colombia_un-FUAA-DFC245_2022_EPI_ISL_20061734_2022-07-24,2022.5589
hDenV1_Colombia_un-FUAA-DFC217_2021_EPI_ISL_20061735_2021-11-30,2021.9123
hDenV1_Colombia_un-FUAA-DFC161_2021_EPI_ISL_20061739_2021-10-16,2021.7890
hDenV1_Colombia_un-FUAA-DFC162_2021_EPI_ISL_20061748_2021-10-17,2021.7918
hDenV1_Colombia_un-FUAA-DFC265_2022_EPI_ISL_20061742_2022-12-11,2022.9425
hDenV1_Colombia_un-FUAA-DFC114_2021_EPI_ISL_20061744_2021-09-06,2021.6795
hDenV1_Colombia_un-FUAA-DFC238_2021_EPI_ISL_20061752_2021-12-12,2021.9452
hDenV1_Colombia_un-FUAA-DFC263_2022_EPI_ISL_20061747_2022-05-11,2022.3562
hDenV1_Colombia_un-FUAA-DFC264_2022_EPI_ISL_20061749_2022-11-11,2022.8603
hDenV1_Colombia_un-FUAA-DFC096_2021_EPI_ISL_20061745_2021-08-30,2021.6603
hDenV1_Colombia_un-FUAA-DFC112_2021_EPI_ISL_20061754_2021-09-06,2021.6795
hDenV1_Colombia_un-FUAA-DFC063_2021_EPI_ISL_20061746_2021-08-15,2021.6192
hDenV1_Colombia_un-FUAA-DFC222_2021_EPI_ISL_20061733_2021-12-03,2021.9205
hDenV1_Colombia_un-FUAA-DFC087_2021_EPI_ISL_20061743_2021-08-24,2021.6438
hDenV1_Colombia_un-FUAA-DFC177_2021_EPI_ISL_20061740_2021-10-29,2021.8247
hDenV1_Colombia_VAC-LSPVAC-2300876_2023_EPI_ISL_18566930_2023-02-09,2023.1068
hDenV1_Colombia_VAC-LSPVAC-2306001_2023_EPI_ISL_18566934_2023-08-21,2023.6356
hDenV1_Colombia_VAC-LSPVAC-2404789_2024_EPI_ISL_19216402_2024-03-18,2024.2110
hDenV1_Colombia_VAC-LSPVAC-2400368_2024_EPI_ISL_19216370_2023-12-26,2023.9836
hDenV1_Colombia_VAC-LSPVAC-2402024_2024_EPI_ISL_19216375_2024-02-04,2024.0932
hDenV1_Colombia_VAC-LSPVAC-2405179_2024_EPI_ISL_19216403_2024-04-01,2024.2493
hDenV1_Colombia_un-Yale-DN02379_2023_EPI_ISL_19257630_2023-09-13,2023.6986
hDenV1_Colombia_un-Yale-DN02363_2023_EPI_ISL_19257631_2023-08-26,2023.6493
hDenV1_Colombia_un-Yale-DN02505_2024_EPI_ISL_19257636_2024-01-21,2024.0548
hDenV1_Colombia_un-Yale-DN02440_2023_EPI_ISL_19257638_2023-11-23,2023.8932
hDenV1_Colombia_VAC-LSPVAC-2400035_2024_EPI_ISL_19216364_2023-12-30,2023.9945
hDenV1_Colombia_VAC-LSPVAC-2401121_2024_EPI_ISL_19216371_2024-01-18,2024.0466
hDenV1_Colombia_VAC-LSPVAC-2400054_2024_EPI_ISL_19216365_2023-12-29,2023.9918
hDenV1_Colombia_VAC-LSPVAC-2405205_2024_EPI_ISL_19216404_2024-04-05,2024.2603
hDenV1_Colombia_VAC-LSPVAC-2401601_2024_EPI_ISL_19216372_2024-01-26,2024.0685
hDenV1_Colombia_un-Yale-DN02556_2024_EPI_ISL_19257633_2024-02-20,2024.1370
hDenV1_Colombia_un-Yale-DN02741_2024_EPI_ISL_19682286_2024-04-14,2024.2849
hDenV1_Colombia_un-Yale-DN02489_2024_EPI_ISL_19257635_2024-01-10,2024.0247
