strain	date	region	country	division	genotype	lineage
hDenV3/Colombia/VAC-LSPVAC-2407446-VI/2024	2024-05-08	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2407449-VI/2024	2024-05-13	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2407697-VI/2024	2024-05-29	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VAC-LSPVAC-2407990-VI/2024	2024-06-11	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/un-Yale-DN02852/2024	2024-07-18	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02850/2024	2024-07-10	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02848/2024	2024-07-13	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02824/2024	2024-06-17	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02819/2024	2024-06-13	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02798/2024	2024-05-27	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02785/2024	2024-05-19	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02783/2024	2024-05-20	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02782/2024	2024-05-17	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02780/2024	2024-05-15	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02774/2024	2024-05-12	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02773/2024	2024-05-13	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02760/2024	2024-05-02	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02716/2024	2024-03-28	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-Yale-DN02694/2024	2024-03-14	South America	Colombia		III	3III_C.1
hDenV3/Colombia/CUN-UEB-007/2014	2014-02-09	South America	Colombia	Cundinamarca	III	3III_C.2
hDenV3/Colombia/VAC-LSPVAC-20240920-1033-VIG/2024	2024-09-10	South America	Colombia	Valle del Cauca	III	3III_C.1
hDenV3/Colombia/VID-UEB-010/2023	2023-07	South America	Colombia	Vichada	III	3III_C.1
hDenV3/Colombia/un-HCB-3123670/2016	2016-02-10	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-FNSP-34190768/2007	2007-02-02	South America	Colombia		III	3III_C.1
hDenV3/Colombia/un-FNSP-34540776/2007	2007-02-02	South America	Colombia		III	3III_C.2
hDenV3/Colombia/un-FNSP-49430675/2006	2006-02-17	South America	Colombia		III	3III_C.2
